suhu;kelembaban;curah_hujan;luas_lahan;hasil_panen;kategori_hasil
25.61810178;61.1000215;192.6094938;0.732567745;43.24247732;sedang
34.2607146;82.27436439;25.2419895;2.891095842;35.08148557;rendah
30.97990913;71.00245934;48.48861423;2.932858047;35.57294807;rendah
28.97987726;77.79997419;269.5662566;3.368434557;57.32691927;tinggi
22.34027961;91.76482659;181.9287179;3.767411002;51.4310757;tinggi
22.33991781;68.72522802;2.759115485;4.891334358;30.2453151;rendah
20.87125418;74.36340231;30.44146286;2.823351567;30.01889807;rendah
32.99264219;86.44428985;199.0505307;1.953304128;52.18862601;tinggi
29.01672518;68.00793579;1.518475154;4.078337876;28.97868661;rendah
30.62108867;62.69429684;48.24241543;1.718745131;34.17169232;rendah
20.30876741;70.14130085;164.6201368;2.475371393;39.5216121;rendah
34.54864778;65.64274505;207.5685593;0.853053716;43.52772948;sedang
32.48663961;92.53941783;195.5883779;0.614078345;51.35709167;tinggi
23.18508666;88.28421328;67.28079284;4.831917866;42.58760906;sedang
22.72737451;82.16913148;213.6537664;4.261910542;54.38947601;tinggi
22.75106765;90.50112066;71.17472625;3.631883927;40.56347592;sedang
24.56363364;88.12852269;97.61990945;2.34028825;39.41286853;rendah
27.87134647;66.52995206;223.9474215;1.27982444;44.82727665;sedang
26.47917528;91.23956495;194.8898697;1.203966692;48.24019505;sedang
24.3684371;78.87697847;254.7670231;1.626093042;50.4604918;tinggi
29.17779342;88.26040543;197.2838677;2.971519991;54.02708533;tinggi
22.09240791;91.3631955;170.492581;3.715681652;49.08686811;sedang
24.38216973;71.13012162;28.10243035;3.470888195;29.64170027;rendah
25.49542765;63.85181736;110.3147409;1.759702536;34.32709925;rendah
26.84104976;67.97773069;79.5607103;4.796893763;40.02358253;rendah
31.77763942;74.9487726;73.19689301;3.820536125;38.35635879;rendah
22.99510673;88.63051681;291.9031664;2.994593236;58.15969771;tinggi
27.71351658;90.12557041;117.9293174;3.252743358;45.12496193;sedang
28.88621853;60.24332457;267.6139666;2.388200281;52.74226083;tinggi
20.69675619;77.87615559;189.3415878;1.614789453;42.93410931;sedang
29.11317278;74.60938511;238.4433911;2.101877054;50.76184546;tinggi
22.55786186;67.77377337;150.7911279;3.910307497;43.68594089;sedang
20.97577389;64.19528786;173.0711654;0.564770699;34.67227899;rendah
34.23328306;71.816531;147.7553081;1.022326882;38.63854815;rendah
34.4844805;93.00183964;58.57289634;0.707011889;34.78013705;rendah
32.12596022;71.31210262;216.7356346;0.68327961;46.51343697;sedang
24.56920654;78.15767176;84.23170873;4.349572628;40.74642757;sedang
21.46508171;84.60566356;7.294789929;3.666460367;34.37376939;rendah
30.2634954;72.72703608;193.6416888;2.633782231;49.97150842;tinggi
26.60228741;94.0123729;53.13320382;0.940253723;33.65711157;rendah
21.83057352;93.68565532;282.1375753;2.712271438;58.88657111;tinggi
27.42765365;68.81238035;286.1785731;2.630622969;53.86481668;tinggi
20.51582782;77.40369771;274.4593171;1.279408415;51.60321015;tinggi
33.63980603;70.53074084;111.0476101;2.452332422;39.63019855;rendah
23.88169972;69.9694173;4.636984959;2.293271305;26.8540716;rendah
29.93783427;61.29104316;278.4955688;3.271325441;53.97730478;tinggi
24.67566614;81.33475169;128.4552445;3.357921429;44.26971052;sedang
27.80102032;77.59376581;289.9964457;0.703868044;57.33191774;tinggi
28.20065419;61.80175629;289.0859931;2.185756766;53.88314006;tinggi
22.77281683;69.75262625;255.9028366;3.316369621;53.80881665;tinggi
34.54376942;91.78930601;88.33466762;2.764113164;44.4629731;sedang
31.62699235;68.38466617;115.5293186;4.354204285;42.62393042;sedang
34.09248412;65.07132052;255.3410015;3.464121342;56.15253714;tinggi
33.42241026;77.13084661;95.07660155;1.233204922;37.4521472;rendah
28.96849968;94.49776589;50.84782401;0.817559363;34.50535641;rendah
33.82811353;68.4719345;167.0403787;3.390886752;45.78261277;sedang
21.32738753;83.52474416;280.8464322;0.619300897;52.47543046;tinggi
22.93974294;86.65668654;208.808939;3.135990116;52.3621309;tinggi
20.67840933;68.31731404;171.018351;4.731036086;49.3331801;sedang
24.87995496;85.4875722;29.15294813;3.0896338;35.57460499;rendah
25.83015935;72.87240965;184.502168;2.246764668;49.57364078;sedang
24.07023548;82.13070407;297.016155;3.394796983;58.6037258;tinggi
32.43106264;82.17353988;42.02520457;2.562138007;37.23546451;rendah
25.3512999;78.75211394;155.4988957;2.955275552;45.18293744;sedang
24.21401765;63.16014195;263.2119216;4.736591639;60.07021499;tinggi
28.14044125;89.23558735;222.2305853;2.23746187;51.37063555;tinggi
22.11386337;71.22730227;209.1047223;4.825357537;49.76136309;sedang
32.03295471;66.52814786;210.7452252;4.574077889;51.93940899;tinggi
21.11825966;61.42712995;107.8473454;1.381060107;27.91996719;rendah
34.80330405;80.68125301;88.07755328;0.812125854;35.95773881;rendah
31.58367154;83.71475266;242.8083466;0.953501006;50.88762335;tinggi
22.98073522;60.58057401;243.0340184;0.581998215;44.77852121;sedang
20.08283176;77.92325704;260.1216956;0.924993323;50.15516909;tinggi
32.23192143;67.92735213;273.9721658;3.57353048;61.55166607;tinggi
30.60286016;82.58104766;153.4027197;0.820348918;44.57888506;sedang
30.93510752;66.10282502;150.4548884;1.935390336;40.26355946;sedang
31.5690552;84.18282083;239.4885537;4.301938899;57.06318455;tinggi
21.11066978;73.53573712;194.9891792;0.604723711;42.73255204;sedang
25.37698593;92.78554961;210.5900632;4.165108172;52.91896195;tinggi
21.73803589;64.81323305;238.7378008;1.768346486;50.55744796;tinggi
32.94655139;71.93732229;267.0016025;1.031741724;55.39395382;tinggi
29.3494719;63.97157324;101.3985471;3.635317244;38.07129411;rendah
24.96347037;92.36427664;112.6748858;3.330242811;40.46360158;sedang
20.95337525;90.70687737;28.19458195;4.448624061;38.85183912;rendah
24.66473483;69.02795697;173.4840423;3.807819697;45.93997578;sedang
24.87774983;83.09944161;10.78268214;4.115664187;35.86844248;rendah
30.94409268;88.60277701;139.6794054;1.769155577;41.32117958;sedang
29.56336207;79.43202841;162.7933904;1.298477947;42.43295919;sedang
33.30819114;78.53777024;85.96237564;3.877766382;42.06226912;sedang
27.08322388;68.46483018;177.2499782;4.130756327;47.89840486;sedang
21.79391369;63.25859687;9.150074982;4.957273139;29.11931631;rendah
30.69867181;91.40255153;11.20445662;2.356779546;34.56981647;rendah
31.41177573;91.514632;246.7801682;2.174081386;54.61739785;tinggi
28.41915796;82.158551;108.0571924;3.993858323;43.46613451;sedang
31.5645077;71.86604269;38.1181538;2.033615931;31.96219935;rendah
27.40693395;72.22233511;156.672978;4.688407965;48.73953861;sedang
27.84099244;85.40844876;230.9980659;4.362857383;58.6827386;tinggi
26.41311528;91.3988591;64.74630825;2.430473123;35.28999929;rendah
20.3812869;91.04802485;186.8671427;3.878919805;47.70031658;sedang
21.6183714;87.29564411;25.6042395;3.895442933;36.8513037;rendah
